gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.1HG00003650	transcript335	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003690	transcript337	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003700	transcript338	71.00	18.00	32.00	28.00	36.00	27.00
HORVU.RGT_PLANET.PROJ.1HG00003750	transcript342	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003760	transcript343	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003780	transcript348	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003790	transcript349	0.00	0.00	0.00	10.00	5.00	6.00
HORVU.RGT_PLANET.PROJ.1HG00003800	transcript350	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003810	transcript351	0.00	0.00	0.00	10.00	5.00	6.00
HORVU.RGT_PLANET.PROJ.1HG00003820	transcript352	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003830	transcript353	2.35	0.09	0.00	2.85	0.00	1.46
HORVU.RGT_PLANET.PROJ.1HG00003840	transcript354	20.00	12.00	18.00	10.00	13.00	12.00
HORVU.RGT_PLANET.PROJ.1HG00003850	transcript355	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003860	transcript357	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003930	transcript359	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003940	transcript360	0.00	0.00	0.00	4.50	1.50	5.50
HORVU.RGT_PLANET.PROJ.1HG00003960	transcript361	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003970	transcript362	0.00	0.00	0.00	3.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003980	transcript363	0.00	0.00	0.00	4.50	1.50	5.50
HORVU.RGT_PLANET.PROJ.1HG00004000	transcript364	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004010	transcript365	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004030	transcript368	6.03	0.00	1.13	3.12	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004050	transcript370	1.00	1.00	0.00	5.00	6.00	2.00
HORVU.RGT_PLANET.PROJ.1HG00004060	transcript371	0.00	0.00	0.00	0.00	2.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004080	transcript373	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004100	transcript374	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004110	transcript375	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004120	transcript377	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004130	transcript378	0.00	0.00	0.00	12.00	36.00	16.00
HORVU.RGT_PLANET.PROJ.1HG00004190	transcript383	0.00	0.00	0.00	0.00	0.00	1.00
